ra,dec,redshift,extinction_r
241.34581,24.634029,0.08665277,0.1491961
241.28718,24.520067,0.1064151,0.1603454
241.3228,24.510359,0.08887969,0.1591932
241.36692,24.522869,0.0327836,0.1542362
241.37966,24.529899,0.1920597,0.1520003
241.26309,24.997897,0.08761805,0.1744487
241.33794,24.955244,0.2367068,0.177455
210.11742,10.236617,0.1687263,0.05783578
210.32542,10.118817,0.02277961,0.06363678
210.3721,10.163956,0.103762,0.06193509
210.00954,10.074695,0.2351926,0.06055807
210.24742,10.105399,0.1032651,0.06096545
210.24475,10.022952,0.1020108,0.06140752
210.25414,12.376081,0.137539,0.04970323
223.65882,10.733712,0.1243314,0.07829423
223.67366,10.696713,0.05123533,0.07904591
223.84444,10.670987,0.09335145,0.07682379
210.0785,12.841323,0.03892582,0.08019129
210.14964,12.983008,0.1784614,0.08318049
210.19136,12.869224,0.1057148,0.07888059
210.18739,12.890831,0.1067612,0.07964263
210.23034,12.853588,0.1036555,0.07897872
210.26507,12.933356,0.2838775,0.07923986
210.2893,12.880327,0.1031594,0.07803258
223.55753,11.127532,0.05265076,0.07586227
212.85902,10.142733,0.03303499,0.05295182
212.96787,10.118738,0.06474133,0.05365803
212.80459,10.623267,0.1099115,0.04916846
212.85116,10.49029,0.1616139,0.05257877
212.8904,10.507365,0.1094456,0.05629234
212.87025,10.530435,0.2948829,0.05499601
212.80901,10.925594,0.1106434,0.04757104
212.81565,10.975049,0.1108727,0.04828798
212.83064,11.067538,0.134534,0.04914004
212.90815,11.051434,0.1092213,0.05179688
212.89704,10.92281,0.1103652,0.05147782
212.9066,10.953744,0.1103334,0.05328617
212.92114,11.041646,0.1100452,0.05258644
212.94932,10.993203,0.1091949,0.05545725
212.98515,11.015596,0.1524815,0.05559219
212.80578,11.372501,0.0241948,0.05918213
212.82919,11.438179,0.1117573,0.05461355
212.82336,11.321187,0.02808348,0.05866515
212.83805,11.410027,0.1138035,0.05629204
212.85301,11.378888,0.09437024,0.0574361
212.87429,11.434521,0.1144949,0.05519938
212.98321,11.352823,0.1132428,0.05381553
212.8143,11.761842,0.0789225,0.05667833
212.95612,11.73706,0.09649221,0.05145678
212.83623,11.832627,0.08852615,0.05346781
212.94126,11.861546,0.125045,0.05401745
212.95508,11.908553,0.09624834,0.05411747
212.9507,11.784653,0.08828381,0.05239715
212.96697,11.834143,0.09165105,0.05354287
212.98463,11.89749,0.07932395,0.05418974
212.98223,11.878462,0.1141632,0.05445796
212.98915,11.714158,0.09654291,0.04942341
225.50956,10.396808,0.04647147,0.07374118
225.52359,10.411428,0.116047,0.07392047
225.57715,10.310472,0.1055816,0.06774181
225.60105,10.349834,0.1437688,0.06869404
225.5983,10.220213,0.04639258,0.06286536
225.66608,10.189635,0.1048039,0.06110018
225.70496,10.260706,0.08390947,0.05955498
225.74095,10.349001,0.1150679,0.05890549
225.7782,10.308607,0.1433758,0.05776515
225.81035,10.349723,0.1696882,0.05890217
225.80993,10.327339,0.2899514,0.05871173
212.84155,12.223916,0.1964135,0.05559487
212.83884,12.181272,0.1148244,0.05613248
212.90057,12.172052,0.137741,0.05319669
225.5397,10.697683,0.170888,0.07995801
225.58942,10.823516,0.09613878,0.08093634
225.58485,10.655794,0.03388667,0.07917924
225.74199,10.758,0.1241497,0.0732848
225.74915,10.697317,0.1235511,0.07179224
225.83387,10.759385,0.09487033,0.07153516
225.83197,10.635375,0.09558909,0.07120509
225.84219,10.655939,0.04018071,0.07128897
225.8343,10.660318,0.1367034,0.07128844
225.78335,10.723362,0.0343711,0.07228036
225.77914,10.656816,0.1364791,0.07112671
225.82746,10.716423,0.04078111,0.07151824
225.84277,10.752007,0.0964187,0.07132802
225.86992,10.777327,0.09336433,0.07150193
212.94942,10.277514,0.1180961,0.05683047
212.8181,10.77923,0.1104694,0.05065973
212.87219,10.816431,0.1611803,0.05134835
212.89724,10.75388,0.108819,0.05339634
212.79185,10.885405,0.0593022,0.04662978
212.91605,10.738423,0.08413982,0.0540279
212.94386,10.861132,0.05883817,0.0524985
212.9299,10.676598,0.1096776,0.05395581
212.94236,10.775354,0.08447776,0.05438962
212.98966,10.80853,0.02483523,0.05532872
212.9745,10.665555,0.09537759,0.05554289
212.8949,11.283473,0.1160152,0.05328557
212.81231,11.128527,0.08924413,0.05015692
212.85688,11.204672,0.023146,0.05184376
212.86909,11.132971,0.1133395,0.05085416
212.88049,11.161723,0.1088201,0.0507204
212.93817,11.259432,0.1130363,0.0511408
212.85623,11.290899,0.1153537,0.05539694
212.96798,11.264555,0.06710869,0.05079633
212.97161,11.209248,0.02778719,0.04800142
212.83065,11.518094,0.03848846,0.0520823
212.81927,11.584781,0.1152151,0.05226472
212.87727,11.658141,0.1152899,0.05189814
212.8887,11.616066,0.07971773,0.05043801
225.61331,10.059424,0.1236666,0.0692508
225.66915,10.134733,0.1033049,0.06261638
225.70992,10.11277,0.07507576,0.06345528
225.73844,10.148172,0.1048307,0.06013137
212.86532,12.021407,0.1147273,0.05068913
212.81011,12.018217,0.1380329,0.04936631
212.95164,11.96199,0.1140277,0.05290885
212.98447,11.964564,0.1115373,0.05261878
240.04231,24.214773,0.2163232,0.147056
239.82172,24.979413,0.07190517,0.1623999
239.87962,24.99747,0.07204396,0.1579318
239.89704,24.98871,0.07209545,0.1595501
239.92729,24.879042,0.2659343,0.1719517
239.85887,24.915287,0.172621,0.1729766
239.92447,24.994816,0.07251164,0.1574544
239.94646,24.915367,0.09085956,0.1679803
239.84911,24.879437,0.2445817,0.1737366
239.94847,24.835202,0.2444345,0.1685746
240.05401,24.735168,0.06377911,0.1528787
240.1088,24.791616,0.08798937,0.1559906
240.0672,24.683519,0.2658643,0.1511315
240.156,24.758031,0.04196038,0.1558331
240.11277,24.677107,0.04256024,0.1500896
240.20874,24.792997,0.1727031,0.164634
240.1201,24.682639,0.264429,0.1500274
