ra,dec,redshift,extinction_r
137.11173,13.50002,0.4658129,0.1669059
119.61892,20.727519,0.382572,0.1667719
130.7131,12.278025,0.3381641,0.1667711
118.12566,24.709616,0.4509114,0.1666966
119.99205,22.847562,0.3648635,0.1664818
119.2374,21.876685,0.5816664,0.1664581
120.05082,22.824297,0.5975239,0.166444
120.0507,22.823646,0.5944219,0.1663856
115.21467,20.845124,0.512395,0.1661784
131.25717,10.219609,0.47577,0.1661486
117.92502,23.624041,0.4001299,0.1660983
117.91065,24.137267,0.4190356,0.1660431
118.7684,20.8252,0.3449599,0.1660319
130.71568,12.313767,0.3356384,0.1659661
117.6625,22.375115,0.448963,0.1659598
118.3828,22.615942,0.5024745,0.165922
116.60709,22.291991,0.3432658,0.1659211
118.03257,24.703202,0.5426646,0.1658999
129.79409,13.116043,0.453011,0.1655912
117.55642,24.079722,0.5007532,0.1655433
118.00479,22.640467,0.3974818,0.1655266
135.39701,14.80293,0.5269484,0.1654909
116.16753,19.864705,0.5224295,0.1654344
120.50373,22.378134,0.5193267,0.1653901
118.07956,24.341874,0.5494125,0.1653777
117.62805,24.733407,0.3103422,0.1653741
128.5307,13.200618,0.3203722,0.1652895
126.65592,24.814588,0.3927507,0.1652821
117.83937,22.95284,0.3983231,0.165207
117.85455,23.983316,0.5458376,0.1651664
122.9894,16.43306,0.4244659,0.1651625
117.5608,24.926467,0.5595554,0.1650869
117.6176,22.565671,0.5803303,0.1650269
137.04902,13.405411,0.4546463,0.1649687
116.5226,20.145068,0.322189,0.164886
130.50875,12.428694,0.307637,0.1648826
135.48445,14.75325,0.4262389,0.1648561
118.09097,24.248482,0.5959913,0.1647947
120.24786,22.48012,0.4906873,0.1647866
117.93961,22.518068,0.484887,0.1646835
119.63937,20.856445,0.4994746,0.1646692
138.08074,10.002121,0.440824,0.1646625
117.7924,22.366548,0.3889665,0.1646476
122.43255,16.527929,0.5716174,0.1646204
128.4417,13.150236,0.4575461,0.1645344
131.04871,10.38522,0.5091522,0.1645095
