ra,dec,redshift,extinction_r
158.93193,0.0085622256,0.01676873,0.1750186
172.00448,7.0097363,0.123359,0.1745672
158.90527,-0.033193851,0.08268926,0.174396
169.49582,6.3506359,0.2708248,0.1743438
158.87283,-0.27709936,0.1507284,0.1742458
169.21015,5.707564,0.1343914,0.1740922
157.38976,0.6642326,0.09667995,0.1736105
159.02905,-0.38294346,0.01683272,0.1735917
169.31871,6.1926105,0.03887621,0.1735628
170.52107,6.7452503,0.03736911,0.1735604
158.89364,-0.35450834,0.02937375,0.1733714
169.60515,6.4785337,0.08213311,0.1731495
169.73233,5.8977791,0.1026138,0.1731128
154.30587,1.9251573,0.2151589,0.1731121
159.04552,0.13886839,0.09488087,0.1730317
170.72957,6.839187,0.09850454,0.1729141
168.49998,6.2128079,0.04736599,0.1728384
169.05554,5.7768475,0.06302001,0.172833
159.12099,-0.32534855,0.2823733,0.1726778
159.20439,-0.25737456,0.09543502,0.1726657
158.91274,0.055790715,0.06561427,0.1723811
157.08044,0.47317436,0.1070656,0.1721011
171.77675,7.0263195,0.0725369,0.1720116
172.39619,7.6639318,0.2919399,0.1719569
166.78416,4.2948308,0.05808521,0.1719441
170.5062,6.3896239,0.03687761,0.1718487
171.82176,7.0187215,0.06402694,0.1718072
158.9181,-0.41455845,0.08348337,0.17178
168.57378,6.0347921,0.1509795,0.1716847
159.12107,-0.34738504,0.2812684,0.171647
169.33846,5.8707005,0.1340795,0.1716326
158.7945,-0.13093057,0.1866739,0.171514
168.53451,5.7421117,0.04832094,0.1714917
171.90491,7.7405933,0.1035419,0.1714316
169.68782,5.6754526,0.127509,0.1711988
166.21598,4.1028397,0.2042285,0.1711545
158.87092,-0.39977503,0.08450961,0.1710679
159.30949,-0.087436321,0.02126185,0.1710113
169.07156,5.7003581,0.09022085,0.171011
171.18332,7.4364214,0.1215121,0.170959
168.28002,5.0666713,0.1152716,0.1708408
166.26181,4.0726221,0.1382506,0.1708227
168.35363,6.082051,0.1515999,0.1707916
170.70144,7.1885809,0.09496202,0.1707564
170.31973,6.3772442,0.1726713,0.1707452
168.28294,5.0728405,0.02705762,0.1704964
171.86146,7.0193685,0.06337853,0.1703387
171.78931,7.0514212,0.06385723,0.1702385
154.34097,2.0252855,0.1548568,0.1702361
168.82293,6.1180057,0.03935949,0.1698827
158.75941,-0.060618772,0.1908925,0.1698656
171.79355,7.0561469,0.06438708,0.1698377
171.92385,6.9708383,0.2661947,0.1697656
171.19932,7.0194534,0.09718033,0.1696439
167.89241,5.0256524,0.04068042,0.1696315
158.77808,-0.030326485,0.08272831,0.1696143
154.32967,2.0375526,0.1532911,0.1694943
159.04289,-0.45787753,0.1501351,0.1694529
158.80254,0.022923117,0.09695305,0.1693264
158.8769,-0.43868164,0.1504898,0.1692495
159.37678,-0.20220599,0.09639085,0.1692106
168.46215,5.814041,0.09162561,0.1692036
168.2669,5.0961616,0.02718555,0.1691522
169.46396,5.7823403,0.1829408,0.1691471
168.08763,5.3702895,0.1350764,0.169137
171.3067,7.6071364,0.1325767,0.1691276
158.59774,-0.21441142,0.09470126,0.1690726
157.39474,0.62696543,0.107577,0.1690016
168.14543,5.3016253,0.0505374,0.1689737
170.41095,6.5539158,0.09836805,0.168935
171.22696,7.4147749,0.09837336,0.1689349
158.68781,-0.0046017701,0.2826114,0.1689043
170.05329,6.0687148,0.06182054,0.1688995
171.63221,7.3170049,0.07352845,0.1688673
170.66518,6.6241933,0.09994683,0.1687013
170.29006,6.373124,0.1001358,0.1686488
166.30289,4.1202798,0.2457877,0.168545
171.37885,7.1724022,0.0751347,0.1684274
158.84283,-0.43408724,0.0832576,0.1684175
159.39309,-0.2202195,0.09520604,0.1683489
171.38599,7.3904378,0.07439545,0.1682605
170.70179,6.8130566,0.09922989,0.1682542
165.98174,1.3342791,0.1289482,0.1682325
154.27262,1.9676569,0.05295245,0.1681769
159.26551,-0.35508684,0.1916175,0.1680551
170.44037,6.4647282,0.1494026,0.1678194
169.87002,5.8606902,0.279042,0.1677839
170.57874,4.2421845,0.152076,0.1677022
166.0011,1.3268779,0.1291167,0.1676884
159.41494,-0.1804924,0.09644731,0.1675998
158.56264,-0.25212179,0.116443,0.1675417
170.72526,7.0028957,0.2201051,0.1675123
171.26867,7.4239204,0.2379812,0.1674329
159.04159,-0.48878099,0.150777,0.1673695
171.24795,8.4625758,0.03776754,0.1673154
166.01656,1.3203026,0.130358,0.1672614
171.61065,7.2691526,0.07253172,0.1671688
172.16518,7.4256093,0.1521477,0.1671453
